file.uid;lat.garmin.dms;long.garmin.dms;measure_status;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;out.mean.cm;out.1.a.cm;out.1.b.cm;out.1.c.cm;out.2.a.cm;out.2.b.cm;out.2.c.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;in.bulleur.measure.status
41362_20251128;46,70571;-71,06399;pending_approbation;STH;STH.ch2.C.p28m.2025;STH.ch2.C;;41362;ODYSSEY;-800;1650;-200;2742;;;80;?? je suis mélangée ?? mesuré ~17;2025-05-03 17:00;2025-11-27 13:00;25,7;0;0;0;0;0;0;54,8;-54,8;2025-07-30;14:32:01;"AG;AP";78;-78;2025-09-18;15:40:00;AG;45,5;-45,5;2025-11-27;12:00:00;AG;NA;NA;NA;NA;NA;
42566_20251128;46,7058;-71,06382;pending_approbation;STH;STH.ch2.C.p6,75m.2025;STH.ch2.C;shannon_006;42566;ODYSSEY;-1400;1829;-200;3711;;;140;;2025-05-03 17:00;2025-11-27 14:00;9,3;0;0;0;0;0;0;65,5;-65,5;2025-07-30;14:08:01;"AG;AP";NA;NA;2025-09-18;15:40:00;AG;52,5;-52,5;2025-11-27;12:45:01;AG;NA;NA;NA;NA;NA;
42565_20251128;46,70583;-71,06375;pending_approbation;STH;STH.ch2.C.p6m.2025;STH.ch2.C;;42565;ODYSSEY;-1400;1846;-200;3704;;;140;nappe tombée en dessous longtemps !;2025-05-03 17:00;2025-11-27 13:00;17;0;0;0;0;0;0;76,8;-76,8;2025-07-30;14:05:01;"AG;AP";104,5;-104,5;2025-09-18;15:40:00;AG;70,5;-70,5;2025-11-27;11:38:01;AG;NA;NA;NA;NA;NA;
42562_20251128;46,70578;-71,06386;pending_approbation;STH;STH.ch2.C.p7,75m.2025;STH.ch2.C;shannon_001;42562;ODYSSEY;-1400;1844;-200;3682;;;140;out le 27 nov : ~24,5 ??? // nappe tombée en dessous longtemps !//photo 1559 depius quand ? diff =  8,5cm;2025-05-03 17:00;2025-11-27 13:00;13,2;0;0;0;0;0;0;55,3;-55,3;2025-07-30;14:13:01;"AG;AP";85;-85;2025-09-18;15:40:00;AG;45;-45;2025-11-27;11:42:00;AG;NA;NA;NA;NA;NA;
42563_20251203;46,70581;-71,0638;verified;STH;STH.ch2.C.p9m.2025;STH.ch2.C;41362_100 et shannon_003;42563;ODYSSEY;-1400;1858;-200;3696;;;140;;2025-05-03 17:00;2025-11-27 13:00;16,5;0;0;0;0;0;0;52;-52;2025-07-30;14:26:01;"AG;AP";79,5;-79,5;2025-09-18;15:40:00;AG;39,5;-39,5;2025-11-27;11:48:00;AG;NA;NA;NA;NA;NA;
22220787_20251128;46,70617;-71,06416;verifed;STH;STH.ch2.D2.m1m_bis.2025;STH.ch2.D2;;22220787;HOBO U20L;;;NA;;;;188;Pour valider les mesures des ODYSSEY / out 27 nov. 2025 = 28cm moyenne;2025-05-03 17:00;2025-11-27 11:00;28,6;0;0;0;0;0;0;33,5;-33,5;2025-07-30;13:42:01;"AG;AP";53,5;-53,5;2025-09-18;15:15:00;AG;48;-48;2025-10-16;11:25:00;AG;30;-30;2025-11-27;09:12:00;AG;
41379_20251203;46,70606;-71,06422;verified;STH;STH.ch2.D2.p10,5m.2025;STH.ch2.D2;;41379;ODYSSEY;-800;1641;-200;2759;;;80;* SONDE SUR TY-WRAP = +5cm - 5 mai tywrap sur haut tuyau à  ligne noire / 30 juillet: embout tro petit pas installe tjrs sur tywrap/ CHANGER EN JUIN, REFAIRE 3 LIGNES DE CALIBRATION / # photo 0614 //pourquoi mesuré 18/19 cm out le 27 nov ?;2025-05-03 17:00;2025-11-27 10:00;12,5;0;0;0;0;0;0;50,3;-50,3;2025-07-30;10:15:01;"AG;AP";79,5;-79,5;2025-09-18;15:15:00;AG;81,5;-81,5;2025-10-16;11:32:00;AG;44,5;-44,5;2025-11-27;08:33:00;AG;
41374_20251128;46,70606;-71,06432;pending_approbation;STH;STH.ch2.D2.p15m.2025;STH.ch2.D2;shannon_011 (2025);41374;ODYSSEY;-800;1756;-200;2964;;;80;CORRIGE 31 JUILLET 2025 // constante de correction de la profondeur nappe (+5,25+5,7) = 10,95 cm  // voir commentaire complet sonde 25m * SONDE SUR TY-WRAP = +5,25cm ligne noire a ty wrap- tuyau et 5,7 cm ligne noire-haut gris a tuyau / CHANGER EN JUIN, REFAIRE 3 LIGNES DE CALIBRATION / # photo 0614;2025-05-03 17:00;2025-07-30 10:00;14;0;0;0;0;0;0;50,5;-50,5;2025-07-30;08:43:01;"AG;AP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
41374_20251128;46,70606;-71,06432;pending_approbation;STH;STH.ch2.D2.p15m.2025;STH.ch2.D2;shannon_011 (2025);41374;ODYSSEY;-800;1756;-200;2964;;;80;CORRIGE 31 JUILLET 2025 // constante de correction de la profondeur nappe (+5,25+5,7) = 10,95 cm  // voir commentaire complet sonde 25m * SONDE SUR TY-WRAP = +5,25cm ligne noire a ty wrap- tuyau et 5,7 cm ligne noire-haut gris a tuyau / CHANGER EN JUIN, REFAIRE 3 LIGNES DE CALIBRATION / # photo 0614;2025-07-30 11:00;2025-11-27 11:00;23,5;0;0;0;0;0;0;50,5;-50,5;2025-07-30;09:43:01;"AG;AP";85,5;-85,5;2025-09-18;15:15:00;AG;82;-82;2025-10-16;11:12:00;AG;42,75;-42,75;2025-11-27;09:40:00;AG;
41370_20251203;46,70612;-71,06413;verified;STH;STH.ch2.D2.p2,5m.2025;STH.ch2.D2;;41370;ODYSSEY;-800;1630;-200;2730;;;80;2,5 m relatif à la crête dans le cas de STH // s'est arrêtée nowhere le 16 octobre…;2025-05-03 17:00;2025-11-27 10:00;28,6;0;0;0;0;0;0;34,8;-34,8;2025-07-30;13:44:01;"AG;AP";42;-42;2025-10-16;11:30:00;AG;27,5;-27,5;2025-11-27;08:17:00;AG;NA;NA;NA;NA;NA;
