file.uid;lat.garmin.dms;long.garmin.dms;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id;x.archive.cal.length.cm;x.archive.2.neg.cal.OUI.length_mm;x.archive.cal.value;x.archive.cal.order;x.archive.measure_type
41379_20251203;46,70606;-71,06422;verified;ch2;STH;STH.D2.p10,5m.2025;STH.D2;;41379;ODYSSEY;-800;1641;-200;2759;;;80;* SONDE SUR TY-WRAP = +5cm - 5 mai tywrap sur haut tuyau à  ligne noire / 30 juillet: embout tro petit pas installe tjrs sur tywrap/ CHANGER EN JUIN, REFAIRE 3 LIGNES DE CALIBRATION / # photo 0614 //pourquoi mesuré 18/19 cm out le 27 nov ?;2025-05-03 17:00;2025-11-27 10:00;10,5;12,5;12,5;0;0;0;50,3;-50,3;2025-07-30;10:15:01;"AG;AP";79,5;-79,5;2025-09-18;15:15:00;AG;81,5;-81,5;2025-10-16;11:32:00;AG;44,5;-44,5;2025-11-27;09:33:00;AG;NA;80;-800;1641;1;calibration
41374_20251128;46,70606;-71,06432;pending_approbation;ch2;STH;STH.D2.p15m.2025;STH.D2;shannon_011 (2025);41374;ODYSSEY;-800;1756;-200;2964;;;80;CORRIGE 31 JUILLET 2025 // constante de correction de la profondeur nappe (+5,25+5,7) = 10,95 cm  // voir commentaire complet sonde 25m * SONDE SUR TY-WRAP = +5,25cm ligne noire a ty wrap- tuyau et 5,7 cm ligne noire-haut gris a tuyau / CHANGER EN JUIN, REFAIRE 3 LIGNES DE CALIBRATION / # photo 0614;2025-05-03 17:00;2025-07-30 10:00;15;14;14;0;0;0;50,5;-50,5;2025-07-30;08:43:01;"AG;AP";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;-800;1756;1;calibration
41374_20251128;46,70606;-71,06432;pending_approbation;ch2;STH;STH.D2.p15m.2025;STH.D2;shannon_011 (2025);41374;ODYSSEY;-800;1756;-200;2964;;;80;CORRIGE 31 JUILLET 2025 // constante de correction de la profondeur nappe (+5,25+5,7) = 10,95 cm  // voir commentaire complet sonde 25m * SONDE SUR TY-WRAP = +5,25cm ligne noire a ty wrap- tuyau et 5,7 cm ligne noire-haut gris a tuyau / CHANGER EN JUIN, REFAIRE 3 LIGNES DE CALIBRATION / # photo 0614;2025-07-30 11:00;2025-11-27 11:00;15;23,5;23,5;0;0;0;50,5;-50,5;2025-07-30;09:43:01;"AG;AP";85,5;-85,5;2025-09-18;15:15:00;AG;82;-82;2025-10-16;11:12:00;AG;42,75;-42,75;2025-11-27;10:40:00;AG;NA;80;-800;1756;1;calibration
41362_20251128;46,70571;-71,06399;pending_approbation;ch2;STH;STH.C.p28m.2025;STH.C;;41362;ODYSSEY;-800;1650;-200;2742;;;80;?? je suis mélangée ?? mesuré ~17;2025-05-03 17:00;2025-11-27 13:00;28;25,7;25,7;0;0;0;54,8;-54,8;2025-07-30;14:32:01;"AG;AP";78;-78;2025-09-18;15:40:00;AG;45,5;-45,5;2025-11-27;14:00:00;AG;NA;NA;NA;NA;NA;NA;80;-800;1650;1;calibration
41384_20251203;46,70613;-71,06422;verified;ch2;STH;STH.D2.p4,5m.2025;STH.D2;shannon_008;41384;ODYSSEY;-800;1510;-200;2443;;;80;;2025-05-03 17:00;2025-11-27 10:00;4,5;22,8;22,8;0;0;0;55,6;-55,6;2025-07-30;13:47:01;"AG;AP";64,5;-64,5;2025-09-18;15:15:00;AG;64;-64;2025-10-16;11:25:00;AG;45,5;-45,5;2025-11-27;10:19:00;AG;NA;80;-800;1510;1;calibration
41360_20251128;46,70576;-71,06384;pending_approbation;ch2;STH;STH.C.p14m.2025;STH.C;shannon_010 (2025);41360;ODYSSEY;-800;1541;-200;2461;;;80;;2025-05-03 17:00;2025-11-27 13:00;14;16,2;16,2;0;0;0;46;-46;2025-07-30;14:20:01;"AG;AP";91;-91;2025-09-18;15:40:00;AG;41,5;-41,5;2025-11-27;13:53:00;AG;NA;NA;NA;NA;NA;NA;80;-800;1541;1;calibration
22220786_20251202;47,62269;-64,82948;verified;ch2;INK;INK.pasMare.A2.m1m.2025;INK.pasMare.A2;NA;22220786;HOBO U20L;;;NA;;;;137,5;;2025-05-25 10:00;2025-11-13 11:00;-1;18,1;18,1;0;0;0;16;-16;2025-05-26;09:00:01;AP;57,4;-57,4;2025-07-21;11:47:01;AP;29,5;-29,5;2025-11-13;11:19:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22195240_20251210;47,62294;-64,82822;verified;ch2;INK;INK.pasMare.A1.m1m.2025;INK.pasMare.A1;NA;22195240;HOBO U20L;;;NA;;;;138;;2025-05-24 11:00;2025-11-13 11:00;-1;20,6;20,6;0;0;0;19;-19;2025-05-26;08:00:01;AP;70,8;-70,8;2025-07-21;11:12:01;AP;49,5;-49,5;2025-11-13;11:04:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22063142_20251210;47,62264;-64,82943;verified;ch2;INK;INK.pasMare.A2.p7m.2025;INK.pasMare.A2;NA;22063142;HOBO U20L;;;NA;;;;140,6;;2025-05-25 10:00;2025-11-13 11:00;7;15,9;15,9;0;0;0;21,5;-21,5;2025-05-26;09:00:01;AP;65,5;-65,5;2025-07-21;11:43:01;AP;66;-66;2025-11-13;11:21:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
41387_20241125;NA;NA;approved;ch2;STH;STH.D3.m1m.2024;STH.D3;NA;41387;ODYSSEY;-800;1638;-200;2759;-310,793934;2552;80;;2024-06-13 15:00;2024-11-14 11:00;-1;31,87;-92;-124,2;-124,2;-123,2;29;-29;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;1638;1;calibration
