file.uid;lat.garmin.dms;long.garmin.dms;measure_type;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.length.cm;long.fil.cm;cal.order;long_negative_cal.length_mm;cal.value;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id
41370_20251203;46,70612;-71,06413;offset_measurement;verified;ch2;STH;STH.D2.p2,5m.2025;STH.D2;;41370;ODYSSEY;;80;NA;NA;;2,5 m relatif à la crête dans le cas de STH;2025-05-03 17:00;2025-11-27 10:00;2,5;28,6;28,6;0;0;0;34,8;-34,8;2025-07-30;13:44:01;"AG;AP";42;-42;2025-10-16;11:30:00;AG;27,5;27,5;2025-11-27;10:17:00;AG;NA;NA;NA;NA;NA;NA
41376_20241125;NA;NA;calibration;rejected;ch2;STH;STH.A2.m1m.2024;STH.A2;NA;41376;ODYSSEY;80;80;1;NA;1647;Pris l'eau;NA;NA;-1;28,6;-103,4;-132,6;-130,8;-132,6;36;-36;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA
41376_20241125;NA;NA;calibration;rejected;ch2;STH;STH.A2.m1m.2024;STH.A2;NA;41376;ODYSSEY;20;80;2;NA;2749;Pris l'eau;NA;NA;-1;28,6;-103,4;-132,6;-130,8;-132,6;36;-36;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA
41376_20241125;NA;NA;offset_measurement;rejected;ch2;STH;STH.A2.m1m.2024;STH.A2;NA;41376;ODYSSEY;NA;80;NA;NA;NA;;2024-06-13 15:00;2024-11-14 11:00;-1;28,6;-103,4;-132,6;-130,8;-132,6;36;-36;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA
41359_20251203;46,70609;-71,06419;calibration;verified;ch2;STH;STH.D2.p8m.2025;STH.D2;;41359;ODYSSEY;80;80;1;-800;1726;;2025-05-03 17:00;2025-11-27 10:00;8;16,8;16,8;0;0;0;38;-38;2025-07-30;13:49:01;"AG;AP";67,5;-67,5;2025-09-18;15:15:00;AG;67,75;-67,75;2025-10-16;11:33:00;AG;23,75;-23,75;2025-11-27;10:25:00;AG;NA
41359_20251203;46,70609;-71,06419;calibration;verified;ch2;STH;STH.D2.p8m.2025;STH.D2;;41359;ODYSSEY;20;80;2;-200;2963;;2025-05-03 17:00;2025-11-27 10:00;8;16,8;16,8;0;0;0;38;-38;2025-07-30;13:49:01;"AG;AP";67,5;-67,5;2025-09-18;15:15:00;AG;67,75;-67,75;2025-10-16;11:33:00;AG;23,75;-23,75;2025-11-27;10:25:00;AG;NA
41359_20251203;46,70609;-71,06419;offset_measurement;verified;ch2;STH;STH.D2.p8m.2025;STH.D2;;41359;ODYSSEY;;80;NA;NA;;;2025-05-03 17:00;2025-11-27 10:00;8;16,8;16,8;0;0;0;38;-38;2025-07-30;13:49:01;"AG;AP";67,5;-67,5;2025-09-18;15:15:00;AG;67,75;-67,75;2025-10-16;11:33:00;AG;23,75;-23,75;2025-11-27;10:25:00;AG;NA
41366_20241125;NA;NA;calibration;approved;ch2;STH;STH.D3.30m.2024;STH.D3;NA;41366;ODYSSEY;80;80;1;NA;1537;;2024-06-13 15:00;2024-11-13 11:00;30;24,07;60;35,6;37;35,2;41,5;-41,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41366_20241125;NA;NA;calibration;approved;ch2;STH;STH.D3.30m.2024;STH.D3;NA;41366;ODYSSEY;20;80;2;NA;2435;;2024-06-13 15:00;2024-11-13 11:00;30;24,07;60;35,6;37;35,2;41,5;-41,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41366_20241125;NA;NA;offset_measurement;approved;ch2;STH;STH.D3.30m.2024;STH.D3;NA;41366;ODYSSEY;NA;80;NA;NA;2174;;2024-06-13 15:00;2024-11-13 11:00;30;24,07;60;35,6;37;35,2;41,5;-41,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41370_20241125;NA;NA;calibration;approved;ch2;STH;STH.D3.7m.2024;STH.D3;NA;41370;ODYSSEY;80;80;1;NA;1639;;2024-06-13 15:00;2024-11-14 11:00;7;30,53;-29,8;-56,6;-61,6;-62,8;44;-44;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
